,Unnamed: 0,lat,lon,timestamp,amenity,name,brand:wikidata,cuisine,brand,chain_name,city,cluster
678,678,49.336065,-123.0376173,2019-07-07T22:34:44.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,,42
679,679,49.258523,-123.1008804,2020-03-20T18:27:53.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,0
680,680,49.0591051,-122.4938845,2019-09-25T14:48:42.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,,47
681,681,49.2502546,-123.0016169,2019-07-07T04:11:10.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Burnaby,-1
682,682,49.2804593,-123.1219022,2019-09-13T13:56:49.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver,0
683,683,49.2631825,-122.8402209,2019-08-28T01:20:10.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Coquitlam,-1
684,684,49.0585182,-122.3788725,2019-05-27T07:56:16.000-07:00,restaurant,Freshii,Q5503051,salad,Freshii,Freshii,Abbotsford,34
685,685,49.1036721,-122.492054,2019-09-25T20:03:29.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,,-1
686,686,49.1910007,-122.8446255,2019-09-13T13:56:49.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Surrey,29
687,687,49.1864097,-122.8502764,2019-06-25T00:59:54.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Surrey,29
688,688,49.1989332,-122.810257,2020-01-04T19:30:59.000-08:00,fast_food,Church's Chicken,Q1089932,chicken,Church's Chicken,Church's Chicken,Surrey,-1
689,689,49.1869381,-122.8000621,2019-03-16T04:26:18.000-07:00,restaurant,Pizza Hut,Q191615,pizza,Pizza Hut,Pizza Hut,Surrey,30
690,690,49.2010176,-122.9172377,2019-09-13T13:57:07.000-07:00,ice_cream,Menchie's,Q6816528,frozen_yogurt,Menchie's,Menchie's,New Westminster,51
691,691,49.1245208,-122.7021725,2020-04-28T18:34:20.000-07:00,fast_food,Papa Murphy's,Q7132349,pizza,Papa Murphy's,Papa Murphy's,Surrey,15
692,692,49.1247533,-122.7029021,2019-11-19T01:25:47.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Surrey,15
693,693,49.0908788,-123.0833668,2019-09-05T06:38:44.000-07:00,restaurant,Pizza Hut,Q191615,pizza,Pizza Hut,Pizza Hut,Delta,25
694,694,49.220638,-122.6556085,2020-01-06T07:51:28.000-08:00,fast_food,Booster Juice,Q4943796,juice,Booster Juice,Booster Juice,Maple Ridge,53
695,695,49.2210405,-122.655669,2020-01-06T07:51:28.000-08:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Maple Ridge,53
696,696,49.2200672,-122.6569634,2020-01-06T07:51:28.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Maple Ridge,53
697,697,49.2198076,-122.646793,2020-01-06T07:51:28.000-08:00,fast_food,Little Caesars,Q1393809,pizza,Little Caesars,Little Caesars,Maple Ridge,53
698,698,49.0353251,-122.2697044,2019-09-25T14:32:53.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Abbotsford,50
699,699,49.285758,-123.1116688,2020-01-23T06:04:00.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver,0
700,700,49.2541175,-122.893757,2019-09-22T22:49:42.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Burnaby,11
701,701,49.2359278,-123.0447153,2019-12-17T20:46:19.000-08:00,fast_food,Dairy Queen,Q1141226,ice_cream;burger,Dairy Queen,Dairy Queen,Vancouver,9
702,702,49.0502826,-122.3175498,2019-10-29T04:00:37.000-07:00,restaurant,Nando's,Q3472954,chicken;portuguese,Nando's,Nando's,Abbotsford,14
703,703,49.2687866,-123.0005841,2019-07-14T20:13:35.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Burnaby,17
704,704,49.1985695,-122.779565,2019-06-17T23:15:38.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Surrey,-1
705,705,49.1985703,-122.779451,2019-06-17T23:15:38.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Surrey,-1
706,706,49.120381,-122.6629612,2019-09-13T13:57:04.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,,15
707,707,49.1121157,-122.6506343,2019-12-03T05:25:30.000-08:00,restaurant,Cora,Q2996960,breakfast,Cora,Cora,City of Langley,15
708,708,49.1097163,-122.6789018,2019-09-13T13:57:04.000-07:00,restaurant,IHOP,Q1185675,breakfast;pancake,IHOP,IHOP,City of Langley,15
