,lat,lon,timestamp,amenity,name,brand:wikidata,cuisine,brand,chain_name,city
207,49.2434728,-123.0621724,2019-09-27T12:19:02.000-07:00,fast_food,KFC,Q524757,chicken,KFC,KFC,Vancouver
208,49.2251239,-123.0535019,2019-11-07T19:56:30.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
209,49.2799372,-123.1073562,2019-10-31T00:54:26.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
210,49.2284031,-123.0908169,2019-11-07T19:56:30.000-08:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
211,49.2808213,-123.0457204,2019-10-31T23:04:22.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
212,49.1913787,-122.8449032,2019-08-24T15:23:01.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Surrey
213,49.0611385,-122.3807955,2019-09-25T14:47:27.000-07:00,fast_food,McDonald's,Q38076,burger,McDonald's,McDonald's,Abbotsford
214,49.0612765,-122.380797,2019-09-25T14:47:27.000-07:00,fast_food,Panago,Q17111672,pizza,Panago,Panago,Abbotsford
215,49.0612017,-122.379992,2020-05-21T17:45:33.000-07:00,fast_food,Quesada,Q66070360,mexican,Quesada,Quesada,Abbotsford
216,49.2195297,-123.0408142,2019-08-11T00:05:00.000-07:00,fast_food,Little Caesars,Q1393809,pizza,Little Caesars,Little Caesars,Vancouver
217,49.2273082,-122.9952428,2019-09-13T13:57:03.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Burnaby
218,49.2317641,-123.0091627,2019-09-13T13:57:03.000-07:00,restaurant,Pizza Hut,Q191615,pizza,Pizza Hut,Pizza Hut,Burnaby
219,49.1999678,-122.9802018,2019-08-05T18:21:14.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Burnaby
220,49.1987317,-122.9768452,2020-01-03T06:33:13.000-08:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Burnaby
221,49.262628,-123.0874661,2019-08-02T02:24:13.000-07:00,fast_food,KFC,Q524757,chicken,KFC,KFC,Vancouver
222,49.0910917,-122.6076471,2019-11-20T12:41:36.000-08:00,fast_food,A&W,Q2818848,burger,A&W,A&W,None
223,49.0889611,-122.5995001,2019-11-20T12:38:19.000-08:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,None
224,49.1547993,-123.1581393,2019-06-08T06:32:06.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Richmond
225,49.2172304,-122.606536,2019-09-24T15:53:15.000-07:00,fast_food,KFC,Q524757,chicken,KFC,KFC,Maple Ridge
226,49.2171362,-122.6064892,2019-09-24T15:53:15.000-07:00,fast_food,Taco Bell,Q752941,tex-mex,Taco Bell,KFC-Taco Bell,Maple Ridge
227,49.2170824,-122.6017268,2019-09-24T15:53:15.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Maple Ridge
228,49.2199383,-122.6019137,2020-04-24T01:43:05.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Maple Ridge
229,49.2207153,-122.5854669,2020-04-24T01:54:00.000-07:00,cafe,Tim Hortons,Q175106,coffee_shop,Tim Hortons,Tim Hortons,Maple Ridge
230,49.2205735,-122.5573529,2019-09-25T20:00:10.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Maple Ridge
231,49.2205909,-122.5575978,2019-09-25T20:00:10.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Maple Ridge
232,49.1980237,-122.9785339,2019-09-11T03:48:59.000-07:00,restaurant,Pizza Hut,Q191615,pizza,Pizza Hut,Pizza Hut,Burnaby
233,49.1050087,-122.6598889,2019-09-13T13:57:03.000-07:00,fast_food,Dairy Queen,Q1141226,ice_cream;burger,Dairy Queen,Dairy Queen,City of Langley
234,49.1051536,-122.6594585,2020-01-07T16:39:13.000-08:00,fast_food,Robin's Donuts,Q7352199,donut,Robin's Donuts,Robin's Donuts,City of Langley
235,49.2798153,-123.1236381,2019-08-29T17:51:24.000-07:00,restaurant,Freshii,Q5503051,salad,Freshii,Freshii,Vancouver
236,49.1945973,-122.8457067,2019-09-27T12:21:38.000-07:00,fast_food,KFC,Q524757,chicken,KFC,KFC,Surrey
237,49.2093679,-123.1165285,2019-09-13T13:57:00.000-07:00,cafe,Starbucks,Q37158,coffee_shop,Starbucks,Starbucks,Vancouver
238,49.2094689,-123.1164992,2019-05-29T17:42:02.000-07:00,fast_food,Subway,Q244457,sandwich,Subway,Subway,Vancouver
239,49.2711559,-123.1358083,2019-08-29T18:31:06.000-07:00,restaurant,The Keg,Q7744066,steak_house,The Keg,The Keg,Vancouver
